event_month,txn_count,_aggregated_at,_year,_layer
01,99464,2026-04-06 09:23:38.924396,2022,gold
02,127121,2026-04-06 09:23:38.924396,2022,gold
03,200900,2026-04-06 09:23:38.924396,2022,gold
04,207585,2026-04-06 09:23:38.924396,2022,gold
05,231652,2026-04-06 09:23:38.924396,2022,gold
06,219533,2026-04-06 09:23:38.924396,2022,gold
07,186796,2026-04-06 09:23:38.924396,2022,gold
08,189560,2026-04-06 09:23:38.924396,2022,gold
09,212842,2026-04-06 09:23:38.924396,2022,gold
10,239550,2026-04-06 09:23:38.924396,2022,gold
